site,PFT,latitude,longitude,dataset,data_record,start_year,end_year
AT-Neu,GRA,47.1167,11.3175,FLUXNET 2015,2002-2012,2002,2012
AU-ASM,SAV,-22.2828,133.2493,OzFlux,2010-2021,2010,2021
AU-Cpr,SAV,-34.0027,140.5877,OzFlux,2010-2021,2010,2021
AU-Ctr,EBF,-16.1056,145.3778,OzFlux,2010-2018,2010,2018
AU-DaS,SAV,-14.1592,131.3881,OzFlux,2008-2021,2008,2021
AU-Gin,WSA,-31.3764,115.7139,OzFlux,2011-2020,2011,2020
AU-GWW,SAV,-30.1913,120.6541,OzFlux,2013-2021,2013,2021
AU-How,WSA,-12.4943,131.1523,OzFlux,2002-2021,2002,2021
AU-Rob,EBF,-17.1175,145.6301,OzFlux,2013-2021,2013,2021
AU-Stp,GRA,-17.1507,133.3502,OzFlux,2008-2021,2008,2021
AU-Tum,EBF,-35.6566,148.1517,OzFlux,2002-2011,2002,2011
AU-Wom,EBF,-37.4222,144.0944,OzFlux,2010-2020,2010,2020
AU-Ync,GRA,-34.9893,146.2907,OzFlux,2013-2021,2013,2021
BE-Bra,MF,51.30920029,4.520559788,ICOS Warm Winter 2020,2004-2019,2004,2019
BE-Vie,MF,50.3051,5.9981,ICOS Warm Winter 2020,2010-2020,2010,2020
CA-Gro,MF,48.2167,-82.1556,AmeriFlux_release,2004-2013,2004,2013
CA-LP1,ENF,55.1119,-122.8414,AmeriFlux_release,2007-2016,2007,2016
CA-Obs,ENF,53.9872,-105.1178,AmeriFlux_release,2000-2010,2000,2010
CA-Qfo,ENF,49.6925,-74.3421,AmeriFlux_release,2004-2010,2004,2010
CA-TP1,ENF,42.66090012,-80.55950165,FLUXNET 2015,2008-2014,2008,2014
CA-TP3,ENF,42.70679855,-80.34829712,FLUXNET 2015,2008-2014,2008,2014
CH-Cha,GRA,47.2102,8.4104,ICOS Warm Winter 2020,2010-2020,2010,2020
CH-Dav,ENF,46.8153,9.8559,ICOS Warm Winter 2020,1997-2019,1997,2019
CH-Fru,GRA,47.1158,8.5378,ICOS Warm Winter 2020,2010-2020,2010,2020
CH-Lae,MF,47.4781,8.365,ICOS Warm Winter 2020,2005-2019,2005,2019
CH-Oe1,GRA,47.2858,7.7319,FLUXNET 2015,2002-2008,2002,2008
CZ-BK1,ENF,49.5021,18.5369,ICOS Warm Winter 2020,2004-2019,2004,2019
CZ-RAJ,ENF,49.4437236,16.6965125,ICOS Warm Winter 2020,2012-2019,2012,2019
CZ-Stn,DBF,49.035975,17.9699,ICOS Warm Winter 2020,2010-2019,2010,2019
DE-Gri,GRA,50.9495,13.5125,ICOS Warm Winter 2020,2004-2019,2004,2019
DE-Hai,DBF,51.0792,10.453,ICOS Warm Winter 2020,2000-2020,2000,2020
DE-Lnf,DBF,51.3282,10.3678,FLUXNET 2015,2002-2012,2002,2012
DE-RuR,GRA,50.6219,6.3041,ICOS Warm Winter 2020,2012-2019,2012,2019
DE-RuW,ENF,50.50490703,6.33101886,ICOS Warm Winter 2020,2012-2019,2012,2019
DE-Tha,ENF,50.96360016,13.56690025,ICOS Warm Winter 2020,1997-2019,1997,2019
DK-Sor,DBF,55.48690033,11.64579964,FLUXNET 2015,1997-2013,1997,2013
ES-Agu,OSH,36.940046,-2.033208,ICOS Warm Winter 2020,2007-2014,2007,2014
ES-LJu,OSH,36.92819977,-2.750469923,FLUXNET 2015,2005-2011,2005,2011
FI-Hyy,ENF,61.8475,24.295,ICOS Warm Winter 2020,1996-2019,1996,2019
FI-Sod,ENF,67.36190033,26.63780022,FLUXNET 2015,2008-2014,2008,2014
FR-FBn,MF,43.24079,5.67865,ICOS Warm Winter 2020,2008-2019,2008,2019
FR-Fon,DBF,48.4764,2.7801,ICOS Warm Winter 2020,2006-2020,2006,2020
FR-Hes,DBF,48.67419815,7.064620018,ICOS Warm Winter 2020,2014-2020,2014,2020
FR-LBr,ENF,44.71709824,-0.769299984,FLUXNET 2015,2001-2008,2001,2008
FR-Pue,EBF,43.74140167,3.595829964,FLUXNET 2015,2001-2014,2001,2014
IL-Yat,ENF,31.34499931,35.05149841,ICOS Warm Winter 2020,2012-2020,2012,2020
IT-Cpz,EBF,41.7052002,12.37609959,FLUXNET 2015,2001-2008,2001,2008
IT-Lav,ENF,45.95529938,11.28120041,ICOS Warm Winter 2020,2003-2019,2003,2019
IT-Noe,CSH,40.6061,8.1515,FLUXNET 2015,2005-2014,2005,2014
IT-Ren,ENF,46.5869,11.4337,ICOS Warm Winter 2020,1999-2020,1999,2020
IT-Ro2,DBF,42.39030075,11.92090034,FLUXNET 2015,2002-2008,2002,2008
IT-SR2,ENF,43.732,10.291,ICOS Warm Winter 2020,2013-2019,2013,2019
IT-SRo,ENF,43.7278595,10.28444004,FLUXNET 2015,2004-2010,2004,2010
IT-Tor,GRA,45.8444,7.5781,ICOS Warm Winter 2020,2009-2019,2009,2019
NL-Loo,ENF,52.16790009,5.743959904,FLUXNET 2015,1997-2014,1997,2014
RU-Fyo,ENF,56.46166992,32.92388916,ICOS Warm Winter 2020,1999-2019,1999,2019
SE-Nor,ENF,60.08649826,17.47950363,ICOS Warm Winter 2020,2014-2020,2014,2020
US-Bar,DBF,44.0646,-71.2881,AmeriFlux_release,2005-2017,2005,2017
US-Blo,ENF,38.89519882,-120.6327515,FLUXNET 2015,2000-2006,2000,2006
US-GLE,ENF,41.3665,-106.2399,AmeriFlux_release,2005-2020,2005,2020
US-Ha1,DBF,42.5378,-72.1715,AmeriFlux_release,1992-2020,1992,2020
US-Ho2,ENF,45.2091,-68.747,AmeriFlux_release,2000-2018,2000,2018
US-IB2,GRA,41.84059906,-88.24099731,FLUXNET 2015,2005-2011,2005,2011
US-Me2,ENF,44.4523,-121.5574,AmeriFlux_release,2002-2020,2002,2020
US-MMS,DBF,39.3232,-86.4131,AmeriFlux_release,1999-2020,1999,2020
US-MOz,DBF,38.7441,-92.2,AmeriFlux_release,2005-2019,2005,2019
US-Mpj,WSA,34.4385,-106.2377,AmeriFlux_release,2008-2020,2008,2020
US-NR1,ENF,40.0329,-105.5464,AmeriFlux_release,2007-2016,2007,2016
US-PFa,MF,45.9459,-90.2723,FLUXNET 2015,1997-2014,1997,2014
US-Seg,GRA,34.3623,-106.702,AmeriFlux_release,2007-2017,2007,2017
US-Ses,OSH,34.3349,-106.7442,AmeriFlux_release,2007-2017,2007,2017
US-Ton,WSA,38.4309,-120.966,FLUXNET 2015,2002-2014,2002,2014
US-Var,GRA,38.4133,-120.9508,AmeriFlux_release,2001-2020,2001,2020
US-Whs,OSH,31.7438,-110.0522,AmeriFlux_release,2008-2020,2008,2020
US-Wjs,SAV,34.4255,-105.8615,AmeriFlux_release,2008-2020,2008,2020
US-Wkg,GRA,31.7365,-109.9419,AmeriFlux_release,2005-2020,2005,2020
